status,closing_reason,closing_date,capacity,short_id,id,fee_rate,node,closing_tx,total_fee
2,2,1666181346,226000000,755278x2783x1,830436943385788417,10,Wallet_Of_Satoshi,ee328b9d4e5cfb658f76f203c4121da8a0800e9bcb789209a48a45caedb4a9e0,5817
2,2,1666171739,50000000,748493x1351x0,822976756897480704,0,Wallet_Of_Satoshi,910f0e0910e3ec7e941f357f51bcb9902d016b32a10b433dd1036b198fe538ad,12740
2,2,1666161647,5000000,728621x1816x1,801127261860790273,0,Wallet_Of_Satoshi,69f9da9e74178a1ad0fc5592f0393a489099d58031e2f04b6bcb3f750a452187,2463
2,2,1666143451,30303333,759132x1726x0,834674461129965568,0,Wallet_Of_Satoshi,acca19445015a1dfdb028613545cd7ef4bfb52e99087e83efc6e4b03b5814c5b,7341
2,1,1666141203,20000000,757108x617x1,832449049522667521,10,Wallet_Of_Satoshi,544a8da08aee2d6f6f17bd918a81773c209e60e50dde3484d648b6002ca092ee,3121
2,1,1666141203,20000000,759053x1973x1,834587599727558657,0,Wallet_Of_Satoshi,ead028f0d2998e5e914623d2af080e5b6ab595390b5ba738594a50a17885eb7f,3121
2,1,1666141203,30304707,758806x1027x1,834316020293500929,0,Wallet_Of_Satoshi,9c89b089e8ee03058d6dcf451018d30c191d1401daeffc1b5e60b070391a2ad4,2210
2,1,1666141203,30304154,758904x1111x0,834423772438528000,0,Wallet_Of_Satoshi,99ecfc990e48262cc42ea978bbd08034b8604d63ad630fc50b1732d5d0e5a4ad,2210
2,1,1666141203,30307742,759074x375x0,834610689367015424,0,Wallet_Of_Satoshi,1de34a79811c6c0bb63a89a325f870bc52eab52dc51ff26a6bb91d30a883aa18,2210
2,1,1666141203,30303333,759122x2453x0,834663466061332480,0,Wallet_Of_Satoshi,6b08f0776ee8642d3e176d9fd0bed945bac4b60ae6893bb9a597305360f2aeaa,2210
2,1,1666141203,30303333,759123x841x1,834664565467316225,0,Wallet_Of_Satoshi,5cc709e72b2b422d75fdee4d8459b79e0fa2a3ce0827f5d0bac6203e70274090,2210
2,1,1666141203,30303333,759156x1100x1,834700849368006657,0,Wallet_Of_Satoshi,1b583c32aa04d006c7e74cae1215283160348fa7f3cb876bd10086d04c040252,2210
2,1,1666140016,50000000,758968x2698x1,834494141286711297,0,Wallet_Of_Satoshi,ca239d9e95cdaadcb87c463c9b85fa826c0a7d125bb824f363d5bae6675a1646,3121
2,1,1666140016,200000000,758982x293x1,834509534291886081,0,Wallet_Of_Satoshi,4acc6ca505ce39142bf5accd16f209b3dd3a11966547b54a80e2feaae7dc8a00,3121
2,1,1666140016,50000000,759053x2372x1,834587599753707521,0,Wallet_Of_Satoshi,9225a439db35eb09dfcff2d33e94434e450d37aae949f0ea0c8fe29bc94c0c86,3121
2,1,1666140016,200000000,759121x308x1,834662366409129985,10,Wallet_Of_Satoshi,704cbd4474551ce4e30e1e8e02192169ff26f45f42c04a2c7dff4c36f14b86b1,3121
2,1,1666140016,200000000,758576x1385x0,834063132642574336,0,Wallet_Of_Satoshi,411e7883f2fdc135969710437b09ac0f8ccb310ad994f28dc71977d7bafce014,3121
2,1,1666140016,50000000,758759x1880x1,834264343302897665,0,Wallet_Of_Satoshi,ddc6723604ea5f7416c531f5601425518e68570955750343657d542301faebdc,3121
2,1,1666140016,200000000,758938x1015x1,834461155827580929,0,Wallet_Of_Satoshi,f17e814b9c1fe019f241af455ac9024d36f4908db97b25b50a693a08e01dc377,3121
2,1,1666134009,5000000,735346x519x1,808521477472583681,0,Wallet_Of_Satoshi,658154feefdb0a32238f33a7959e75a9f8c04b112a864391d5d8e792f7fe92bf,805
2,1,1666133824,1500000,758809x362x0,834319318784802816,1000,Wallet_Of_Satoshi,1586dc09888d6798102ee5ab6ca2013c60e63ae1643b642f57ecdbe55f3fa3bf,804
2,1,1666117027,1250000,747010x1353x1,821346181153619969,0,Wallet_Of_Satoshi,081a83dfeb9d6f73751964446299f5ff9e092ca2b528ae8657ce73472f1f417a,3424
2,2,1666115361,5000000,746586x1803x1,820879988252934145,0,Wallet_Of_Satoshi,d2054f08fa7082ef4ef11cb0da04e2502c0ff34681da587e4308f8a4ae43db31,10023
2,2,1666114918,250000000,741532x1546x1,815323056469311489,1000,Wallet_Of_Satoshi,8650522475658439a15b510a9ae13d95f3b588c1840f8425b2d0ed1464ac1768,4978
2,1,1666111798,1000000,749666x1978x1,824266484077953025,0,Wallet_Of_Satoshi,1dc67593ec88cca7b84870985d9abee67acfb796d48b594f07ea9e5e74aa2481,3106
2,1,1666111798,6000000,757096x654x0,832435855385559040,0,Wallet_Of_Satoshi,94db7ffab9e72a076036e2da2167bc6389b72999167fa3e982730eeb79c92800,1276
2,1,1666076723,4040000,759042x905x1,834575505029660673,1000,Wallet_Of_Satoshi,cbc177a357704ba2203e10e431671800a033c64e699acd01330be293d0cb5f9b,1961
2,2,1666076566,30303333,758714x2013x1,834214865288364033,0,Wallet_Of_Satoshi,ba5ae2df547bf95ecc9f0ad3ba3cc654f4ea5103e8e33455bf700b5b81c0ea8c,5287
2,1,1666072761,4000000,753826x395x0,828840452345757696,0,Wallet_Of_Satoshi,bc03b4e4e4683c073cda3cc726188064fa325e807f75ee2f864bfd84f2b5cdad,666
2,1,1666070915,15000000,759087x1985x1,834624983123689473,0,Wallet_Of_Satoshi,229d03ae5743f1e569d827229f14e22d8ad870633088cc05b6ce37b20da53d8f,902
2,1,1666061808,200000000,758776x2077x1,834283035013480449,0,Wallet_Of_Satoshi,d9d55d9b47bc9189b534768c36122c0505071352c86ebf4e2fc172062b5b174e,1956
2,1,1666060180,5000000,749977x1330x1,824608432151724033,0,Wallet_Of_Satoshi,1a6823f4954d4b43e3ca961ee78d65b78e4b440730443b64278325507795299f,1546
2,1,1666045727,20000000,758061x1401x0,833496884155318272,0,Wallet_Of_Satoshi,7a7786ba052732e0144ac65d538831a03b15c4569628c1de95dc52bb54552823,3356
2,1,1666045727,50000000,758757x2303x1,834262144307363841,0,Wallet_Of_Satoshi,9d30ae3eb3f90119a7f9edddff1b4a604ce55d3d4d60fc6cb6b4d9fc3ed10614,3356
2,1,1666045727,30303333,758061x1258x1,833496884145946625,0,Wallet_Of_Satoshi,146d1e80d29bad4e14b0f77a58c6570ea28cb933bdcafabfffb8089735d50d0e,3356
2,1,1666045727,30303333,758761x899x4,834266542261862404,10,Wallet_Of_Satoshi,b21714d481859f59efca5f5db7169c0bb1337956e527476e5a472f5c6733cf39,3356
2,1,1666045727,30303333,759069x1686x0,834605191894794240,200,Wallet_Of_Satoshi,0cc24c52a3d48b7c5332c310fbf95a284142b39f656a8a6a9d3b7486c682c7f2,3356
2,2,1666040098,5000000,732521x2062x1,805415357225238529,0,Wallet_Of_Satoshi,47cf914b89fd4165c4ba6a7ddcbd48af6d9276fe8c3a6a00f6ce662d599f9bfb,13303
2,1,1666034801,195000,690724x1979x1,759459069713645569,1000,Wallet_Of_Satoshi,238e02550cf02ea30a446e5ec919744f8c4aef6f4f946c3ccfc1c5386363ffb5,2161
2,2,1666034801,5661963,728025x1758x1,800471952926834689,0,Wallet_Of_Satoshi,0188578539596e88f6ea2f25ff57e9beaa782c0fbf296277c4ed3533dcc0c27b,5606
2,2,1666023991,500000,731170x1925x1,803929917007134721,0,Wallet_Of_Satoshi,32326b4af815a69c654cb2597790857b74529080545b5ae8b56ef35efdc011f4,4189
